ENDPOINT,pos_weight,AUC,ACC,BACC,TN,TP,FP,FN,PR,RC,F1
NR-AhR,5.0,0.8400811649558366,0.8940998487140696,0.7548340892814513,0.9322,0.5775,0.0678,0.4225,0.8949,0.5775,0.5395
NR-ER-LBD,5.0,0.8144960079840319,0.9573863636363636,0.6753160345974717,0.9895,0.3611,0.0105,0.6389,0.9718,0.3611,0.4643
SR-ATAD5,5.0,0.8564473221904331,0.9664804469273744,0.6027204738242232,0.9985,0.2069,0.0015,0.7931,0.993,0.2069,0.3333
SR-p53,5.0,0.8063671875,0.9470588235294116,0.690625,0.9812,0.4,0.0188,0.6,0.9552,0.4,0.4706
NR-AR,10.0,0.8585633968280607,0.9714285714285714,0.8171100109087858,0.9872,0.6471,0.0128,0.3529,0.9805,0.6471,0.6769
NR-Aromatase,10.0,0.8240525717673799,0.9246575342465754,0.7581896338751914,0.9488,0.5676,0.0512,0.4324,0.9173,0.5676,0.4884
NR-PPAR-gamma,10.0,0.8572274881516588,0.9614791987673345,0.6756516587677726,0.9763,0.375,0.0237,0.625,0.9406,0.375,0.3243
SR-HSE,10.0,0.8296824104234526,0.918960244648318,0.6880700325732899,0.9511,0.425,0.0489,0.575,0.8969,0.425,0.3908
NR-AR-LBD,10.0,0.903820816864295,0.9677891654465594,0.8574440052700922,0.9758,0.7391,0.0242,0.2609,0.9682,0.7391,0.6071
NR-ER,10.0,0.6966346969954168,0.7870662460567823,0.6807630283483279,0.8266,0.5349,0.1734,0.4651,0.7552,0.5349,0.4053
SR-ARE,10.0,0.8053700065487885,0.7362270450751253,0.7579022047587862,0.7269,0.7889,0.2731,0.2111,0.7429,0.7889,0.4733
SR-MMP,10.0,0.8908963585434173,0.8392226148409894,0.8278244631185807,0.8445,0.8111,0.1555,0.1889,0.8392,0.8111,0.616
NR-AhR,10.0,0.8218190498925758,0.8426626323751891,0.7631893053234662,0.8644,0.662,0.1356,0.338,0.83,0.662,0.4747
NR-ER-LBD,10.0,0.843188622754491,0.953125,0.7387724550898204,0.9775,0.5,0.0225,0.5,0.957,0.5,0.5217
SR-ATAD5,10.0,0.8885208050996336,0.952513966480447,0.6449831852632636,0.9796,0.3103,0.0204,0.6897,0.9384,0.3103,0.3462
SR-p53,10.0,0.77796875,0.9264705882352942,0.73828125,0.9516,0.525,0.0484,0.475,0.9155,0.525,0.4565
NR-AR,15.0,0.8318368716958967,0.9496598639455782,0.8056977427204833,0.9643,0.6471,0.0357,0.3529,0.9478,0.6471,0.5432
NR-Aromatase,15.0,0.802954691437324,0.886986301369863,0.7254805079302338,0.9104,0.5405,0.0896,0.4595,0.8578,0.5405,0.3774
NR-PPAR-gamma,15.0,0.8084518167456556,0.9722650231124808,0.6507207740916272,0.9889,0.3125,0.0111,0.6875,0.9658,0.3125,0.3571
SR-HSE,15.0,0.8204397394136806,0.8975535168195719,0.7000407166123779,0.9251,0.475,0.0749,0.525,0.8638,0.475,0.3619
NR-AR-LBD,15.0,0.918181818181818,0.9707174231332356,0.9009222661396574,0.9758,0.8261,0.0242,0.1739,0.9715,0.8261,0.6552
NR-ER,15.0,0.6927622644712274,0.6640378548895899,0.6488075029706332,0.6697,0.6279,0.3303,0.3721,0.6553,0.6279,0.3364
SR-ARE,15.0,0.80858982754857,0.67779632721202,0.7601069635450775,0.6424,0.8778,0.3576,0.1222,0.7106,0.8778,0.4501
SR-MMP,15.0,0.8769957983193277,0.8109540636042403,0.8200280112044818,0.8067,0.8333,0.1933,0.1667,0.8117,0.8333,0.5837
NR-AhR,15.0,0.8193124850799713,0.8078668683812406,0.7498925757937456,0.8237,0.6761,0.1763,0.3239,0.7932,0.6761,0.4305
NR-ER-LBD,15.0,0.8665585495675316,0.9502840909090908,0.6847139055222887,0.9805,0.3889,0.0195,0.6111,0.9523,0.3889,0.4444
SR-ATAD5,15.0,0.8617678060533052,0.9385474860335196,0.6211915876123073,0.9665,0.2759,0.0335,0.7241,0.8918,0.2759,0.2667
SR-p53,15.0,0.7623828124999998,0.8897058823529411,0.7421875,0.9094,0.575,0.0906,0.425,0.8638,0.575,0.3802
NR-AR,20.0,0.8640177897121759,0.9564625850340136,0.8512419233028448,0.9672,0.7353,0.0328,0.2647,0.9573,0.7353,0.6098
NR-Aromatase,20.0,0.7927269133850486,0.8664383561643836,0.7397104600029646,0.8848,0.5946,0.1152,0.4054,0.8377,0.5946,0.3607
NR-PPAR-gamma,20.0,0.8260268562401264,0.9553158705701078,0.7029522116903634,0.9684,0.4375,0.0316,0.5625,0.9326,0.4375,0.3256
SR-HSE,20.0,0.800814332247557,0.8990825688073395,0.7125407166123778,0.9251,0.5,0.0749,0.5,0.8697,0.5,0.3774
NR-AR-LBD,20.0,0.8922266139657444,0.9633967789165446,0.8551712779973649,0.9712,0.7391,0.0288,0.2609,0.9625,0.7391,0.5763
NR-ER,20.0,0.6817709217450347,0.613564668769716,0.6245119674079104,0.6095,0.6395,0.3905,0.3605,0.6209,0.6395,0.3099
SR-ARE,20.0,0.8021501855490066,0.6010016694490818,0.710347085789129,0.554,0.8667,0.446,0.1333,0.6602,0.8667,0.3949
SR-MMP,20.0,0.872280578898226,0.7385159010600707,0.7904761904761906,0.7143,0.8667,0.2857,0.1333,0.7521,0.8667,0.5132
NR-AhR,20.0,0.8132251133922177,0.75642965204236,0.7582477918357603,0.7559,0.7606,0.2441,0.2394,0.7571,0.7606,0.4015
NR-ER-LBD,20.0,0.8351214238190287,0.9161931818181818,0.7455921490352628,0.9356,0.5556,0.0644,0.4444,0.8962,0.5556,0.404
SR-ATAD5,20.0,0.8403352908698489,0.9455307262569832,0.7073984841640315,0.9665,0.4483,0.0335,0.5517,0.9305,0.4483,0.4
SR-p53,20.0,0.7842578124999999,0.8735294117647059,0.75703125,0.8891,0.625,0.1109,0.375,0.8493,0.625,0.3676
NR-AR,30.0,0.8349836368213476,0.8979591836734694,0.8065788369556097,0.9073,0.7059,0.0927,0.2941,0.8839,0.7059,0.3902
NR-Aromatase,30.0,0.7843272888976728,0.8356164383561644,0.7862542615741884,0.8428,0.7297,0.1572,0.2703,0.8227,0.7297,0.36
NR-PPAR-gamma,30.0,0.8454778830963665,0.930662557781202,0.7207740916271722,0.9415,0.5,0.0585,0.5,0.8953,0.5,0.2623
SR-HSE,30.0,0.8103827361563518,0.8425076452599388,0.7291530944625407,0.8583,0.6,0.1417,0.4,0.809,0.6,0.3179
NR-AR-LBD,30.0,0.8821475625823452,0.945827232796486,0.8460803689064558,0.953,0.7391,0.047,0.2609,0.9402,0.7391,0.4789
NR-ER,30.0,0.6787048039382109,0.5126182965299685,0.6151332541164488,0.4745,0.7558,0.5255,0.2442,0.5899,0.7558,0.2961
SR-ARE,30.0,0.8080877537655533,0.5859766277128547,0.7335188823401004,0.5226,0.9444,0.4774,0.0556,0.6642,0.9444,0.4067
SR-MMP,30.0,0.8805905695611579,0.6819787985865724,0.7703781512605042,0.6408,0.9,0.3592,0.1,0.7147,0.9,0.4737
NR-AhR,30.0,0.8121866793984245,0.7170953101361573,0.7424086894246837,0.7102,0.7746,0.2898,0.2254,0.7277,0.7746,0.3704
NR-ER-LBD,30.0,0.8561626746506986,0.8849431818181818,0.7291250831669993,0.9027,0.5556,0.0973,0.4444,0.851,0.5556,0.3306
SR-ATAD5,30.0,0.8489183355920293,0.9301675977653632,0.7159062390202279,0.9491,0.4828,0.0509,0.5172,0.9045,0.4828,0.359
SR-p53,30.0,0.79751953125,0.7794117647058824,0.7890625,0.7781,0.8,0.2219,0.2,0.7829,0.8,0.2991
NR-AR,40.0,0.8433330536208777,0.8802721088435375,0.8112989846437861,0.8873,0.7353,0.1127,0.2647,0.8671,0.7353,0.3623
NR-Aromatase,40.0,0.8004100993132072,0.7996575342465754,0.7544592124116805,0.8062,0.7027,0.1938,0.2973,0.7838,0.7027,0.3077
NR-PPAR-gamma,40.0,0.8620655608214849,0.901386748844376,0.82760663507109,0.9052,0.75,0.0948,0.25,0.8878,0.75,0.2727
SR-HSE,40.0,0.805944625407166,0.7431192660550459,0.7346498371335505,0.7443,0.725,0.2557,0.275,0.7393,0.725,0.2566
NR-AR-LBD,40.0,0.8979578392621871,0.9106881405563688,0.8698616600790514,0.9136,0.8261,0.0864,0.1739,0.9053,0.8261,0.3838
NR-ER,40.0,0.6958177728738755,0.4400630914826498,0.6074732643014769,0.3777,0.8372,0.6223,0.1628,0.5736,0.8372,0.2886
SR-ARE,40.0,0.7930037109801353,0.5308848080133556,0.6965291421087099,0.4597,0.9333,0.5403,0.0667,0.6334,0.9333,0.3742
SR-MMP,40.0,0.8747315592903828,0.6501766784452296,0.7604808590102707,0.5987,0.9222,0.4013,0.0778,0.6968,0.9222,0.456
NR-AhR,40.0,0.8208402960133684,0.6959152798789713,0.7677130580090714,0.6763,0.8592,0.3237,0.1408,0.7263,0.8592,0.3777
NR-ER-LBD,40.0,0.8183216899534265,0.84375,0.7731204258150366,0.8518,0.6944,0.1482,0.3056,0.8241,0.6944,0.3125
SR-ATAD5,40.0,0.8290669075942378,0.8547486033519553,0.7591728153390553,0.8632,0.6552,0.1368,0.3448,0.8272,0.6552,0.2676
SR-p53,40.0,0.7969140625000001,0.7176470588235294,0.7445312500000001,0.7141,0.775,0.2859,0.225,0.7305,0.775,0.2441
NR-AR,50.0,0.8453889401695058,0.7795918367346939,0.7585172442728876,0.7817,0.7353,0.2183,0.2647,0.7711,0.7353,0.2358
NR-Aromatase,50.0,0.8038687682197736,0.7791095890410958,0.7308908542912199,0.7861,0.6757,0.2139,0.3243,0.7596,0.6757,0.2793
NR-PPAR-gamma,50.0,0.8191153238546603,0.8875192604006163,0.7900375197472354,0.8926,0.6875,0.1074,0.3125,0.8649,0.6875,0.2316
SR-HSE,50.0,0.7909201954397395,0.7217125382262997,0.7349348534201954,0.7199,0.75,0.2801,0.25,0.7281,0.75,0.2479
NR-AR-LBD,50.0,0.8789855072463767,0.9238653001464128,0.8556982872200264,0.9288,0.7826,0.0712,0.2174,0.9166,0.7826,0.4091
NR-ER,50.0,0.690863181123748,0.3785488958990536,0.5865939568833815,0.3011,0.8721,0.6989,0.1279,0.5551,0.8721,0.2757
SR-ARE,50.0,0.7843483955468239,0.4724540901502504,0.6758677144728226,0.3851,0.9667,0.6149,0.0333,0.6112,0.9667,0.3551
SR-MMP,50.0,0.8810224089635854,0.6130742049469965,0.7474323062558357,0.5504,0.9444,0.4496,0.0556,0.6775,0.9444,0.437
NR-AhR,50.0,0.8095368823108141,0.6762481089258698,0.7381117211745047,0.6593,0.8169,0.3407,0.1831,0.7057,0.8169,0.3515
NR-ER-LBD,50.0,0.8338323353293413,0.7826704545454546,0.7540751829673985,0.7859,0.7222,0.2141,0.2778,0.7714,0.7222,0.2537
SR-ATAD5,50.0,0.8554434573106461,0.8505586592178771,0.7404758319530191,0.8603,0.6207,0.1397,0.3793,0.8162,0.6207,0.2517
SR-p53,50.0,0.8112109375,0.6867647058823529,0.7632812499999999,0.6766,0.85,0.3234,0.15,0.7244,0.85,0.242
NR-AR,1.0,0.8589410086431148,0.9741496598639455,0.7205882352941176,1.0,0.4412,0.0,0.5588,1.0,0.4412,0.6122
NR-Aromatase,1.0,0.825238401106774,0.9383561643835616,0.5261129502445774,0.9982,0.0541,0.0018,0.9459,0.9673,0.0541,0.1
NR-PPAR-gamma,1.0,0.7732030015797788,0.975346687211094,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SR-HSE,1.0,0.8331433224755701,0.9388379204892966,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
NR-AR-LBD,1.0,0.8648880105401845,0.9765739385065886,0.7361001317523057,0.9939,0.4783,0.0061,0.5217,0.9875,0.4783,0.5789
NR-ER,1.0,0.7125700220675608,0.8801261829652997,0.563041079612969,0.9982,0.1279,0.0018,0.8721,0.9859,0.1279,0.2245
SR-ARE,1.0,0.7933638943462127,0.8564273789649416,0.5542348832132722,0.9862,0.1222,0.0138,0.8778,0.8989,0.1222,0.2037
SR-MMP,1.0,0.8660247432306256,0.8886925795053003,0.7130718954248366,0.9706,0.4556,0.0294,0.5444,0.9394,0.4556,0.5655
NR-AhR,1.0,0.8329434232513727,0.9122541603630863,0.6534972547147291,0.9831,0.3239,0.0169,0.6761,0.9503,0.3239,0.4423
NR-ER-LBD,1.0,0.75,0.9559659090909091,0.5694444444444444,1.0,0.1389,0.0,0.8611,1.0,0.1389,0.2439
SR-ATAD5,1.0,0.7937559604477238,0.9594972067039106,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SR-p53,1.0,0.7874218749999999,0.9411764705882353,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
NR-AR,2.0,0.825123772761601,0.9755102040816327,0.7772719644205757,0.9957,0.5588,0.0043,0.4412,0.9924,0.5588,0.6786
NR-Aromatase,2.0,0.8346262167103118,0.9434931506849316,0.5666534907851178,0.9982,0.1351,0.0018,0.8649,0.9867,0.1351,0.2326
NR-PPAR-gamma,2.0,0.7725118483412322,0.9768875192604006,0.53125,1.0,0.0625,0.0,0.9375,1.0,0.0625,0.1176
SR-HSE,2.0,0.8384771986970684,0.9495412844036697,0.599185667752443,0.9984,0.2,0.0016,0.8,0.9919,0.2,0.3265
NR-AR-LBD,2.0,0.8765480895915679,0.9795021961932651,0.8005599472990778,0.9924,0.6087,0.0076,0.3913,0.9877,0.6087,0.6667
NR-ER,2.0,0.7305423527414701,0.889589905362776,0.6126294347309456,0.9927,0.2326,0.0073,0.7674,0.9696,0.2326,0.3636
SR-ARE,2.0,0.8164592883649857,0.8564273789649416,0.6319799170486793,0.9528,0.3111,0.0472,0.6889,0.8684,0.3111,0.3944
SR-MMP,2.0,0.8810807656395891,0.8957597173144877,0.7533146591970121,0.9622,0.5444,0.0378,0.4556,0.9351,0.5444,0.6242
NR-AhR,2.0,0.8211267605633803,0.913767019667171,0.6977082835999044,0.9729,0.4225,0.0271,0.5775,0.9397,0.4225,0.5128
NR-ER-LBD,2.0,0.7656769793745842,0.9588068181818182,0.6497837658017298,0.994,0.3056,0.006,0.6944,0.9808,0.3056,0.4314
SR-ATAD5,2.0,0.774080208803895,0.9594972067039106,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SR-p53,2.0,0.7930468749999999,0.9514705882352941,0.6109375,0.9969,0.225,0.0031,0.775,0.9863,0.225,0.3529
NR-AR,3.0,0.8201728622975581,0.9714285714285714,0.6911764705882353,1.0,0.3824,0.0,0.6176,1.0,0.3824,0.5532
NR-Aromatase,3.0,0.8468797865507189,0.9434931506849316,0.6296506744404368,0.989,0.2703,0.011,0.7297,0.961,0.2703,0.3774
NR-PPAR-gamma,3.0,0.8425157977883097,0.9784283513097073,0.5929601105845181,0.9984,0.1875,0.0016,0.8125,0.9916,0.1875,0.3
SR-HSE,3.0,0.8668973941368079,0.9495412844036697,0.622557003257329,0.9951,0.25,0.0049,0.75,0.9808,0.25,0.3774
NR-AR-LBD,3.0,0.8824110671936758,0.9809663250366032,0.8222990777338604,0.9924,0.6522,0.0076,0.3478,0.9885,0.6522,0.6977
NR-ER,3.0,0.7242403666610084,0.8769716088328076,0.6249363435749449,0.9708,0.2791,0.0292,0.7209,0.9053,0.2791,0.381
SR-ARE,3.0,0.7857454704213054,0.8631051752921536,0.6770683256930801,0.943,0.4111,0.057,0.5889,0.8783,0.4111,0.4744
SR-MMP,3.0,0.8869397759103642,0.8904593639575972,0.7681839402427637,0.9475,0.5889,0.0525,0.4111,0.9181,0.5889,0.631
NR-AhR,3.0,0.852900453568871,0.903177004538578,0.7537240391501552,0.9441,0.5634,0.0559,0.4366,0.9097,0.5634,0.5556
NR-ER-LBD,3.0,0.7952844311377246,0.9573863636363636,0.6490352628077178,0.9925,0.3056,0.0075,0.6944,0.9761,0.3056,0.4231
SR-ATAD5,3.0,0.8512272248155398,0.9608938547486033,0.5337549565828439,0.9985,0.069,0.0015,0.931,0.9793,0.069,0.125
SR-p53,3.0,0.7741796874999999,0.9485294117647058,0.69140625,0.9828,0.4,0.0172,0.6,0.9588,0.4,0.4776
NR-AR,5.0,0.8153058655701938,0.9755102040816327,0.7492867332382311,0.9986,0.5,0.0014,0.5,0.9972,0.5,0.6538
NR-Aromatase,5.0,0.8139730223825288,0.940068493150685,0.6530213943376649,0.9817,0.3243,0.0183,0.6757,0.9466,0.3243,0.4068
NR-PPAR-gamma,5.0,0.8282977883096366,0.9722650231124808,0.6507207740916272,0.9889,0.3125,0.0111,0.6875,0.9658,0.3125,0.3571
SR-HSE,5.0,0.8524429967426709,0.9403669724770642,0.687785016286645,0.9756,0.4,0.0244,0.6,0.9424,0.4,0.4507
NR-AR-LBD,5.0,0.8998682476943345,0.9780380673499268,0.8417654808959156,0.9879,0.6957,0.0121,0.3043,0.9829,0.6957,0.6809
NR-ER,5.0,0.7457350195213037,0.8564668769716088,0.6571889322695638,0.9307,0.3837,0.0693,0.6163,0.8469,0.3837,0.4204
SR-ARE,5.0,0.8296878410827331,0.8347245409015025,0.783846321763807,0.8566,0.7111,0.1434,0.2889,0.8322,0.7111,0.5639
SR-MMP,5.0,0.8876633986928105,0.8816254416961131,0.8124883286647993,0.9139,0.7111,0.0861,0.2889,0.892,0.7111,0.6564
NR-AhR,5.0,0.8400811649558366,0.8940998487140696,0.7548340892814513,0.9322,0.5775,0.0678,0.4225,0.8949,0.5775,0.5395
NR-ER-LBD,5.0,0.8144960079840319,0.9573863636363636,0.6753160345974717,0.9895,0.3611,0.0105,0.6389,0.9718,0.3611,0.4643
SR-ATAD5,5.0,0.8564473221904331,0.9664804469273743,0.6027204738242232,0.9985,0.2069,0.0015,0.7931,0.993,0.2069,0.3333
SR-p53,5.0,0.8063671875,0.9470588235294117,0.690625,0.9812,0.4,0.0188,0.6,0.9552,0.4,0.4706
NR-AR,10.0,0.8585633968280607,0.9714285714285714,0.8171100109087858,0.9872,0.6471,0.0128,0.3529,0.9805,0.6471,0.6769
NR-Aromatase,10.0,0.8240525717673799,0.9246575342465754,0.7581896338751914,0.9488,0.5676,0.0512,0.4324,0.9173,0.5676,0.4884
